epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
67,389.149,1.92033,2.84154,1.25371,1.18743,0,0.50866,0.48656,0.4933,0.21041,0.50537,0.44733,0.45502,0.17224,2.09886,2.97018,1.44071,1.45542,0,0.000841625,0.000841625,0.000841625
68,394.828,1.91651,2.80741,1.23902,1.18346,0,0.49295,0.52184,0.50036,0.20685,0.44281,0.47369,0.46038,0.16958,2.21462,3.03692,1.45801,1.51991,0,0.000835438,0.000835438,0.000835438
69,400.471,1.91525,2.7956,1.25264,1.17565,0,0.52168,0.57865,0.53418,0.20498,0.4577,0.47875,0.43558,0.16642,2.15792,3.04405,1.42629,1.47123,0,0.00082925,0.00082925,0.00082925
70,406.149,1.95643,2.86968,1.27223,1.18726,0,0.48624,0.48679,0.46291,0.18459,0.44257,0.41853,0.41754,0.15684,2.20543,3.08633,1.60081,1.4849,0,0.000823063,0.000823063,0.000823063
71,411.903,1.9278,2.81001,1.25048,1.19864,0,0.47762,0.51092,0.45224,0.19157,0.42172,0.46706,0.41127,0.15488,2.153,2.96397,1.53076,1.45272,0,0.000816875,0.000816875,0.000816875
72,417.87,1.94152,2.80805,1.25933,1.17937,0,0.48323,0.51014,0.47516,0.19822,0.43011,0.4689,0.43948,0.163,2.17082,3.07604,1.47856,1.4881,0,0.000810688,0.000810688,0.000810688
73,423.538,1.95398,2.82356,1.25551,1.21297,0,0.53248,0.5319,0.52866,0.21775,0.42767,0.46381,0.44247,0.16574,2.1937,3.07497,1.45899,1.47788,0,0.0008045,0.0008045,0.0008045
74,429.245,1.92872,2.81802,1.22019,1.18771,0,0.55363,0.55128,0.52284,0.20491,0.49935,0.50351,0.46078,0.16648,2.16294,3.02519,1.42599,1.49254,0,0.000798313,0.000798313,0.000798313
75,434.842,1.86171,2.79344,1.21183,1.20151,0,0.54377,0.53034,0.50331,0.19873,0.48308,0.4999,0.47242,0.16661,2.19633,3.09635,1.44886,1.51331,0,0.000792125,0.000792125,0.000792125
76,440.537,1.91699,2.80481,1.24922,1.19101,0,0.53381,0.54052,0.51947,0.20791,0.54416,0.5453,0.50701,0.18338,2.15032,3.06225,1.41182,1.48874,0,0.000785938,0.000785938,0.000785938
77,446.227,1.83906,2.69475,1.19053,1.16866,0,0.51884,0.49042,0.47539,0.20171,0.48182,0.48513,0.45143,0.16865,2.15158,3.05276,1.52377,1.49063,0,0.00077975,0.00077975,0.00077975
78,452.314,1.87799,2.77623,1.21088,1.20298,0,0.53856,0.54947,0.50698,0.2147,0.48542,0.49339,0.46605,0.17936,2.08025,2.96863,1.40221,1.4569,0,0.000773563,0.000773563,0.000773563
79,458.101,1.83069,2.7302,1.15212,1.15241,0,0.48893,0.53984,0.5004,0.21554,0.46079,0.49986,0.46929,0.18054,2.09566,2.99521,1.4232,1.43973,0,0.000767375,0.000767375,0.000767375
80,464.134,1.84975,2.71868,1.14738,1.15434,0,0.54951,0.47812,0.46814,0.19452,0.50834,0.42054,0.41922,0.15098,2.17457,3.08889,1.49284,1.4993,0,0.000761188,0.000761188,0.000761188
81,469.92,1.9086,2.78072,1.20528,1.16447,0,0.47687,0.50369,0.44267,0.18402,0.43766,0.46017,0.40229,0.15121,2.15237,3.08175,1.58172,1.47922,0,0.000755,0.000755,0.000755
82,475.769,1.88709,2.79704,1.19675,1.17051,0,0.56172,0.48941,0.46686,0.19436,0.4774,0.41203,0.39384,0.14598,2.13245,2.98545,1.48916,1.43925,0,0.000748813,0.000748813,0.000748813
83,481.585,1.87419,2.72111,1.17159,1.14445,0,0.55183,0.51516,0.48458,0.20022,0.47939,0.45953,0.42304,0.16068,2.13069,3.02698,1.44723,1.44234,0,0.000742625,0.000742625,0.000742625
